documents,metadata
chips_can, "{\"context\": \"items for household use\"}"
cereal_box, "{\"context\": \"household items\"}"
tuna_can, "{\"context\": \"household items\"}"
milk, "{\"context\": \"household items\"}"
tomato_soup, "{\"context\": \"household items\"}"
mustard_bottle, "{\"context\": \"household items\"}"
red_bowl, "{\"context\": \"household items\"}"
spoon, "{\"context\": \"household items\"}"
fork, "{\"context\": \"household items\"}"
knife, "{\"context\": \"household items\"}"
plate, "{\"context\": \"household items\"}"
mug, "{\"context\": \"household items\"}"
blue_bowl, "{\"context\": \"household items\"}"
rubik_cube, "{\"context\": \"household items\"}"
sponge, "{\"context\": \"household items\"}"
wood_block, "{\"context\": \"household items\"}"
screrwdriver, "{\"context\": \"household items\"}"
tweezer, "{\"context\": \"household items\"}"
baseball, "{\"context\": \"household items\"}"
tennis_ball, "{\"context\": \"household items\"}"
big_tennis_ball, "{\"context\": \"household items\"}"
apple, "{\"context\": \"household items\"}"
banana, "{\"context\": \"household items\"}"
lemmon, "{\"context\": \"household items\"}"
orange, "{\"context\": \"household items\"}"
peach, "{\"context\": \"household items\"}"
pear, "{\"context\": \"household items\"}"
cocacola, "{\"context\": \"household items\"}"
galletas, "{\"context\": \"household items\"}"
leche, "{\"context\": \"household items\"}"
pringles, "{\"context\": \"household items\"}"